Admission_rate,Midpoint_of_SAT_scores_at_the_institution__math,In_state_tuition_and_fees,Out_of_state_tuition_and_fees,Average_faculty_salary,Average_cost_of_attendance__academic_year_institutions,Percentage_of_undergraduates_who_receive_a_Pell_Grant,Median_family_income,Control_of_institution,Completion_rate_for_first_time_full_time_target
-1,-1,-1,-1,97,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,94,-1,0,0
-1,-1,-1,-1,42,-1,-1,56,2,0
-1,-1,-1,-1,31,-1,-1,-1,2,0
31,-1,33,34,54,23,43,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,10,6,42,26,51,-1,2,0
-1,-1,-1,-1,-1,-1,68,-1,0,0
53,13,88,86,50,75,62,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,39,20,75,46,38,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,16,9,84,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,27,2,0
0,57,97,97,98,-1,-1,-1,1,1
-1,-1,72,67,-1,81,84,-1,0,0
-1,-1,-1,-1,-1,-1,-1,23,2,0
-1,-1,-1,-1,-1,-1,46,-1,0,0
90,-1,-1,-1,-1,-1,-1,7,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,40,-1,-1,-1,2,0
-1,-1,-1,-1,7,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,26,-1,-1,-1,1,0
-1,-1,78,74,53,61,42,-1,1,0
-1,-1,-1,-1,76,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,12,29,86,-1,7,-1,2,0
83,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,50,-1,-1,95,1,1
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,29,0,0
-1,-1,31,16,53,30,32,-1,2,0
-1,-1,-1,-1,-1,-1,-1,30,0,0
-1,-1,2,16,94,-1,-1,-1,2,0
72,-1,69,62,4,-1,-1,77,1,0
-1,-1,-1,-1,-1,-1,1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,21,0,0
13,-1,81,78,32,-1,-1,-1,0,0
-1,-1,-1,-1,76,-1,-1,-1,1,0
86,2,13,24,4,-1,-1,60,2,0
-1,-1,1,13,70,-1,-1,13,2,0
-1,-1,-1,-1,-1,-1,48,-1,0,0
10,-1,-1,-1,5,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,97,-1,0,0
-1,-1,-1,-1,-1,-1,65,-1,0,0
-1,-1,-1,-1,63,-1,-1,-1,1,1
-1,-1,22,50,68,0,24,-1,2,0
-1,-1,3,3,41,-1,-1,27,2,0
-1,-1,-1,-1,-1,-1,83,-1,0,0
-1,-1,-1,-1,21,-1,-1,-1,1,0
82,-1,39,19,-1,-1,-1,84,2,0
-1,-1,-1,-1,4,-1,-1,-1,1,0
90,-1,-1,-1,-1,-1,-1,25,0,0
63,-1,96,96,81,93,53,-1,0,0
-1,-1,-1,-1,58,-1,-1,-1,1,0
74,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,84,-1,-1,97,1,0
90,-1,-1,-1,-1,-1,-1,45,2,0
-1,-1,6,6,45,-1,-1,-1,2,0
-1,-1,-1,-1,17,-1,-1,-1,2,0
-1,-1,-1,-1,4,-1,-1,73,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,54,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,24,0,0
-1,-1,-1,-1,-1,-1,-1,23,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,25,32,48,-1,-1,-1,2,0
-1,-1,-1,-1,15,-1,91,-1,0,0
-1,-1,-1,-1,85,-1,-1,-1,1,0
27,-1,-1,-1,68,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,13,32,56,-1,20,-1,2,0
-1,-1,-1,-1,5,-1,-1,-1,1,0
82,26,79,75,47,58,30,-1,1,0
-1,-1,-1,-1,27,-1,-1,-1,1,0
42,-1,93,92,10,-1,-1,3,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,93,-1,-1,49,2,0
-1,-1,82,-1,-1,-1,-1,-1,0,0
-1,-1,24,44,69,-1,-1,-1,2,0
-1,-1,66,59,16,56,96,-1,0,0
-1,-1,-1,-1,-1,-1,-1,84,0,0
-1,-1,-1,-1,31,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,43,-1,-1,-1,1,0
5,53,99,99,97,99,11,-1,1,1
-1,-1,-1,-1,-1,-1,47,-1,2,0
-1,-1,26,37,64,32,32,-1,2,0
-1,-1,-1,-1,0,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,64,0,0
-1,-1,-1,-1,2,-1,-1,-1,0,0
90,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,70,-1,2,0
82,0,53,41,22,-1,-1,61,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
1,57,98,98,98,96,8,-1,1,1
-1,-1,27,48,87,4,54,-1,2,0
-1,-1,-1,-1,-1,-1,82,-1,0,0
-1,-1,-1,-1,-1,-1,68,-1,0,0
-1,-1,-1,-1,-1,-1,95,-1,0,0
-1,-1,-1,-1,-1,-1,-1,11,0,0
19,-1,90,89,76,80,29,-1,1,0
-1,-1,-1,-1,-1,-1,82,-1,0,0
-1,-1,-1,-1,-1,-1,-1,9,0,0
40,-1,80,76,66,-1,-1,-1,0,1
87,-1,-1,-1,-1,-1,53,-1,0,0
-1,-1,-1,-1,70,-1,-1,6,1,0
-1,-1,54,43,4,71,93,-1,0,0
-1,-1,-1,-1,-1,-1,-1,75,0,0
-1,-1,20,17,57,-1,-1,74,2,0
-1,-1,30,9,-1,-1,-1,4,2,0
-1,-1,70,65,9,58,62,-1,0,0
-1,-1,85,-1,-1,-1,-1,88,1,0
-1,-1,-1,-1,-1,-1,-1,35,0,0
-1,-1,-1,-1,-1,-1,-1,37,2,0
-1,-1,-1,-1,63,-1,-1,-1,1,0
15,50,55,97,97,61,22,-1,2,1
-1,-1,24,28,91,18,9,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
5,54,88,86,94,-1,-1,-1,1,1
-1,-1,6,27,36,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
11,-1,54,43,19,-1,-1,-1,1,0
90,-1,-1,-1,32,-1,-1,-1,0,1
-1,-1,-1,-1,24,-1,-1,-1,0,0
-1,-1,15,26,65,-1,-1,-1,2,0
-1,-1,-1,-1,7,-1,-1,-1,0,0
36,-1,-1,-1,-1,-1,71,-1,2,0
77,43,87,85,50,-1,-1,92,1,1
-1,-1,-1,-1,-1,-1,79,-1,0,0
26,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,14,10,35,26,78,-1,2,0
-1,-1,16,11,-1,-1,-1,-1,2,0
-1,-1,26,30,55,25,50,-1,2,0
-1,-1,81,78,27,72,46,-1,0,0
-1,-1,87,86,44,74,28,-1,1,0
21,47,48,81,80,-1,-1,-1,2,0
-1,-1,44,27,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,46,31,40,31,89,-1,0,0
-1,-1,-1,-1,-1,-1,-1,27,1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
62,23,77,73,39,-1,-1,89,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,75,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,3,20,85,29,9,-1,2,0
25,23,68,88,90,70,43,-1,2,1
8,-1,-1,-1,-1,-1,-1,72,1,0
-1,-1,33,20,80,31,27,-1,2,0
-1,-1,-1,-1,0,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,83,-1,0,0
-1,-1,26,56,52,13,28,-1,2,0
13,-1,20,37,54,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,25,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
16,28,59,50,-1,-1,-1,-1,1,0
-1,-1,58,49,-1,-1,-1,-1,0,0
60,-1,72,67,4,57,74,-1,0,1
20,30,30,69,74,-1,-1,-1,2,1
-1,-1,-1,-1,-1,-1,-1,0,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
36,45,48,86,96,46,14,-1,2,1
-1,-1,-1,-1,-1,-1,-1,10,0,0
-1,-1,-1,-1,54,-1,-1,74,1,0
-1,-1,-1,-1,-1,-1,93,-1,0,0
-1,-1,62,54,3,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
35,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,16,0,0
-1,-1,57,48,25,-1,11,-1,1,0
-1,-1,-1,-1,-1,-1,-1,27,0,0
-1,-1,86,84,-1,-1,-1,-1,1,1
-1,-1,-1,-1,47,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,3,-1,0,0
-1,-1,72,67,24,64,82,-1,0,0
-1,-1,-1,-1,62,-1,-1,-1,1,0
56,-1,45,29,18,-1,21,-1,1,0
-1,-1,-1,-1,16,-1,-1,-1,1,0
-1,-1,-1,-1,7,-1,-1,8,1,0
-1,-1,2,15,88,-1,-1,-1,2,0
-1,-1,55,45,-1,14,99,-1,0,0
-1,-1,8,13,13,-1,-1,-1,2,0
-1,-1,-1,-1,20,-1,-1,48,2,0
-1,-1,-1,-1,9,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,66,-1,0,0
-1,-1,-1,-1,26,-1,-1,37,2,0
-1,-1,75,71,16,79,57,-1,0,0
-1,-1,21,17,87,-1,-1,-1,2,0
83,-1,83,80,53,68,69,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,4,-1,-1,82,1,0
-1,-1,-1,-1,-1,-1,88,-1,0,0
-1,-1,13,35,79,10,3,-1,2,0
-1,-1,76,-1,-1,-1,-1,-1,0,0
-1,-1,7,6,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
32,34,59,50,59,-1,-1,94,1,1
41,34,90,89,61,80,14,-1,1,1
-1,-1,-1,-1,64,-1,-1,46,1,0
86,45,75,70,53,-1,-1,74,1,0
-1,-1,-1,-1,94,-1,-1,-1,2,0
-1,-1,22,18,64,-1,-1,67,2,0
-1,-1,-1,-1,-1,-1,88,-1,0,0
-1,-1,-1,-1,60,-1,-1,69,0,0
-1,-1,73,68,-1,-1,-1,-1,1,0
-1,-1,-1,-1,22,-1,-1,41,2,0
-1,-1,60,52,39,-1,-1,-1,1,1
-1,-1,-1,-1,32,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,77,-1,0,0
-1,-1,-1,-1,-1,-1,-1,30,0,0
-1,-1,-1,-1,-1,-1,-1,25,1,0
-1,-1,-1,-1,11,-1,-1,32,1,0
90,-1,-1,-1,-1,-1,58,-1,0,0
-1,-1,-1,-1,24,-1,-1,-1,2,0
31,-1,53,42,44,-1,-1,-1,1,1
58,34,84,82,53,-1,-1,74,1,1
-1,-1,-1,-1,-1,-1,66,-1,0,0
-1,-1,52,39,-1,-1,-1,51,1,0
-1,-1,56,45,4,46,70,-1,0,0
-1,-1,-1,-1,-1,-1,-1,6,0,0
-1,-1,-1,-1,71,-1,50,-1,1,0
-1,-1,40,21,-1,-1,-1,32,0,0
-1,-1,-1,-1,-1,-1,63,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,36,-1,-1,40,2,0
1,6,55,45,21,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
79,23,43,26,51,32,26,-1,1,0
81,-1,3,22,-1,-1,-1,37,2,0
-1,-1,74,69,35,-1,-1,16,0,0
-1,-1,-1,-1,-1,-1,-1,2,0,0
-1,-1,-1,-1,63,-1,-1,-1,1,0
-1,-1,7,4,48,12,57,-1,2,0
-1,-1,-1,-1,-1,-1,-1,53,0,0
-1,-1,60,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,29,-1,1,0
-1,-1,3,20,34,-1,-1,44,2,0
-1,-1,-1,-1,-1,-1,91,-1,0,0
-1,-1,2,0,14,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
56,21,64,57,-1,-1,-1,68,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
55,-1,82,79,34,78,62,-1,0,0
-1,-1,44,27,28,-1,-1,71,1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,46,30,37,40,71,-1,1,0
-1,-1,37,16,76,20,50,-1,2,0
-1,-1,-1,-1,-1,-1,-1,43,2,0
-1,-1,-1,-1,17,-1,-1,-1,2,0
-1,-1,3,1,26,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,75,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
31,36,98,97,92,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,20,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,72,67,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,22,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,0,1,0
-1,-1,0,8,71,-1,-1,23,2,0
72,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
84,-1,7,5,30,-1,-1,-1,2,0
-1,-1,53,41,7,-1,-1,-1,1,0
-1,-1,71,66,49,-1,-1,-1,1,1
-1,-1,57,47,-1,-1,-1,-1,1,0
-1,-1,-1,-1,9,-1,-1,16,2,0
-1,-1,-1,-1,-1,-1,-1,23,0,0
-1,-1,-1,-1,-1,-1,-1,54,0,0
-1,-1,62,54,66,-1,-1,-1,1,1
-1,-1,7,7,67,8,13,-1,2,0
-1,-1,-1,-1,14,-1,-1,-1,1,0
-1,-1,0,6,85,-1,-1,21,2,0
11,36,93,93,84,87,13,-1,1,1
-1,-1,14,28,86,3,5,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,37,-1,-1,87,2,0
-1,-1,19,34,80,-1,-1,-1,2,0
21,-1,-1,-1,-1,-1,69,-1,0,0
-1,-1,-1,-1,-1,-1,40,-1,0,0
-1,-1,-1,-1,-1,-1,-1,15,2,0
-1,-1,-1,-1,-1,-1,97,-1,0,0
87,0,64,57,48,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,8,-1,0,0
-1,-1,-1,-1,41,-1,89,-1,0,0
10,-1,86,84,72,84,70,-1,0,0
-1,-1,-1,-1,34,-1,-1,-1,1,0
63,-1,-1,-1,51,-1,95,-1,0,0
-1,-1,-1,-1,-1,-1,70,-1,0,0
35,52,56,92,98,67,15,-1,2,1
-1,-1,-1,-1,-1,-1,73,-1,2,0
46,-1,46,30,32,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,62,0,0
10,-1,-1,-1,-1,-1,78,-1,2,0
37,32,87,85,82,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,74,-1,35,-1,1,0
56,-1,-1,-1,-1,-1,-1,49,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,84,-1,-1,34,1,0
-1,-1,44,73,66,32,14,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,62,2,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
44,-1,63,56,36,-1,-1,-1,0,0
-1,-1,62,-1,-1,-1,-1,-1,1,0
25,1,31,46,60,-1,44,-1,2,0
-1,-1,-1,-1,-1,-1,75,-1,0,0
-1,-1,40,21,24,-1,-1,23,1,0
-1,-1,-1,-1,-1,-1,-1,21,2,0
-1,-1,46,29,19,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,17,0,0
-1,-1,-1,-1,-1,-1,-1,22,0,0
50,43,35,63,3,-1,-1,89,2,1
-1,-1,24,50,54,19,39,-1,2,0
-1,-1,-1,-1,-1,-1,63,-1,0,0
78,-1,-1,-1,-1,-1,-1,33,0,0
-1,-1,10,27,91,-1,7,-1,2,0
-1,-1,-1,-1,43,-1,-1,79,1,1
35,-1,75,70,1,66,20,-1,1,0
57,-1,-1,-1,-1,-1,-1,37,2,0
-1,-1,-1,-1,58,-1,-1,77,1,1
-1,-1,-1,-1,-1,-1,-1,55,0,0
-1,-1,-1,-1,-1,-1,-1,19,0,0
63,-1,36,70,66,-1,-1,91,2,1
7,54,-1,-1,96,96,2,-1,1,1
-1,-1,-1,-1,-1,-1,95,-1,0,0
-1,-1,46,29,-1,16,98,-1,0,0
-1,-1,6,9,73,11,28,-1,2,0
90,-1,-1,-1,-1,-1,-1,23,0,0
-1,-1,-1,-1,-1,-1,41,-1,0,0
-1,-1,25,18,55,6,54,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
24,26,85,83,68,-1,19,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,37,-1,-1,-1,2,0
-1,-1,70,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,76,-1,-1,-1,1,0
79,-1,19,50,64,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
70,-1,67,60,-1,-1,-1,45,0,0
90,-1,-1,-1,-1,-1,89,-1,2,0
90,-1,47,32,2,-1,-1,-1,0,0
68,30,88,87,93,-1,-1,-1,1,1
69,12,81,78,16,-1,-1,-1,1,1
-1,-1,0,0,30,-1,-1,-1,2,0
-1,-1,28,26,-1,-1,-1,-1,2,1
-1,-1,-1,-1,34,-1,-1,-1,2,0
-1,-1,59,50,-1,-1,-1,68,1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,0,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,9,0,0
-1,-1,70,64,41,57,57,-1,0,0
-1,-1,-1,-1,33,-1,-1,48,1,0
-1,-1,75,70,14,48,83,-1,0,0
73,16,41,84,90,39,44,-1,2,0
-1,-1,-1,-1,93,-1,71,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,5,23,24,-1,-1,-1,2,0
46,16,85,83,75,76,27,-1,1,1
90,-1,54,43,64,-1,-1,-1,1,0
-1,-1,-1,-1,98,-1,-1,-1,0,0
-1,-1,62,54,5,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,66,-1,0,0
59,35,92,91,65,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,90,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,27,26,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
22,30,90,89,51,-1,20,-1,1,0
-1,-1,-1,-1,-1,-1,90,-1,0,0
-1,-1,-1,-1,-1,-1,-1,21,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
82,-1,52,41,60,-1,-1,-1,0,0
-1,-1,-1,-1,17,-1,38,-1,0,0
-1,-1,-1,-1,7,-1,-1,-1,0,0
-1,-1,33,20,60,24,45,-1,2,0
-1,-1,-1,-1,-1,-1,95,-1,0,0
-1,-1,-1,-1,-1,-1,98,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
43,14,25,63,88,-1,-1,-1,2,0
-1,-1,-1,-1,3,-1,-1,12,1,0
-1,-1,-1,-1,-1,-1,45,-1,0,0
-1,-1,-1,-1,-1,-1,-1,0,0,0
-1,-1,-1,-1,17,-1,-1,58,1,0
64,32,31,64,83,-1,-1,-1,2,1
-1,-1,5,2,27,-1,-1,-1,2,0
-1,-1,66,59,15,-1,63,-1,0,0
-1,-1,-1,-1,-1,-1,61,-1,1,0
-1,-1,1,16,83,13,9,-1,2,0
-1,-1,80,76,-1,-1,-1,-1,1,0
68,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,22,-1,-1,16,1,0
-1,-1,78,-1,-1,-1,-1,-1,1,0
90,-1,64,57,16,51,87,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,13,-1,-1,30,2,0
-1,-1,-1,-1,-1,-1,-1,18,0,0
-1,-1,-1,-1,53,-1,-1,94,1,0
-1,-1,1,13,93,-1,-1,-1,2,0
1,56,98,98,97,-1,4,-1,1,1
-1,-1,-1,-1,-1,-1,-1,15,0,0
-1,-1,28,7,89,15,33,-1,2,0
-1,-1,-1,-1,-1,-1,87,-1,0,0
87,-1,54,43,19,-1,-1,14,0,0
-1,-1,41,22,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,65,-1,0,0
-1,-1,-1,-1,45,-1,-1,-1,1,0
-1,-1,23,10,13,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,0,0,0
-1,-1,-1,-1,-1,-1,-1,31,0,0
-1,-1,-1,-1,-1,-1,88,-1,0,0
-1,-1,-1,-1,-1,-1,27,-1,0,0
-1,-1,13,32,69,-1,-1,-1,2,0
38,36,63,91,98,50,26,-1,2,1
-1,-1,52,39,41,-1,-1,-1,1,0
-1,-1,-1,-1,37,-1,-1,43,2,0
90,-1,73,68,15,55,65,-1,0,0
-1,-1,11,28,-1,-1,-1,-1,2,0
-1,-1,-1,-1,4,-1,-1,-1,1,0
-1,-1,77,73,-1,-1,-1,-1,1,0
-1,-1,-1,-1,93,-1,-1,-1,1,0
-1,-1,40,22,7,-1,-1,-1,1,0
-1,-1,69,63,53,-1,-1,-1,1,0
-1,-1,-1,-1,5,-1,-1,43,0,0
10,-1,79,75,56,-1,2,-1,0,0
-1,-1,-1,-1,-1,-1,-1,71,0,0
77,-1,55,44,34,-1,60,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,11,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
58,14,81,77,51,-1,-1,86,1,0
85,-1,83,80,64,70,75,-1,0,0
21,19,82,79,58,73,39,-1,1,1
3,-1,59,49,34,34,82,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,11,34,42,14,65,-1,2,0
-1,-1,-1,-1,58,-1,-1,-1,2,0
79,-1,56,46,8,38,78,-1,0,0
-1,-1,57,48,-1,-1,-1,66,0,0
-1,-1,-1,-1,-1,-1,49,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,57,-1,-1,-1,2,0
86,-1,-1,-1,-1,-1,-1,18,0,0
74,-1,45,29,52,-1,-1,-1,1,0
67,-1,-1,-1,-1,-1,-1,17,0,0
23,-1,-1,-1,32,-1,-1,-1,0,0
-1,-1,21,36,65,3,13,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
90,-1,-1,-1,-1,-1,-1,-1,1,0
1,-1,0,0,-1,-1,-1,69,1,0
-1,-1,-1,-1,-1,-1,-1,1,2,0
-1,-1,-1,-1,30,-1,-1,86,1,1
31,-1,26,6,44,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,21,-1,54,-1,0,0
-1,-1,-1,-1,-1,-1,87,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,0,-1,-1,-1,2,0
-1,-1,-1,-1,18,-1,74,-1,0,0
48,19,57,48,65,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,95,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,32,36,76,-1,-1,-1,2,0
77,-1,36,74,79,-1,-1,-1,2,0
-1,-1,62,54,29,68,88,-1,0,0
11,2,77,72,30,-1,-1,-1,1,0
38,20,80,77,49,-1,-1,72,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
34,-1,-1,-1,-1,-1,37,-1,2,0
-1,-1,-1,-1,0,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,30,0,0
-1,-1,9,5,73,-1,-1,51,2,0
-1,-1,-1,-1,10,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,87,2,0
-1,-1,43,25,4,5,92,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
89,-1,62,54,25,-1,-1,59,0,1
-1,-1,-1,-1,54,-1,-1,80,1,0
-1,-1,-1,-1,98,-1,-1,-1,2,0
-1,-1,16,12,-1,-1,-1,-1,2,0
13,-1,85,82,70,73,61,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
90,-1,-1,-1,65,-1,38,-1,0,0
-1,-1,-1,-1,-1,-1,99,-1,0,0
-1,-1,61,52,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,5,-1,2,0
-1,-1,52,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,18,36,76,-1,-1,-1,2,0
5,-1,13,10,-1,-1,-1,78,1,0
-1,-1,-1,-1,98,-1,-1,-1,1,0
-1,-1,48,34,0,39,11,-1,1,0
-1,-1,-1,-1,-1,-1,-1,5,0,0
-1,-1,33,12,-1,-1,-1,0,0,0
-1,-1,-1,-1,-1,-1,-1,22,0,0
-1,-1,-1,-1,43,-1,-1,-1,2,0
20,20,74,68,77,60,84,-1,1,0
-1,-1,-1,-1,-1,-1,-1,26,0,0
58,-1,-1,-1,-1,-1,71,-1,2,0
72,-1,62,54,74,55,75,-1,0,0
-1,-1,-1,-1,-1,-1,61,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
90,-1,-1,-1,-1,-1,-1,24,0,0
90,-1,46,30,11,-1,-1,82,1,1
-1,-1,-1,-1,-1,-1,87,-1,0,0
41,11,65,58,39,-1,-1,71,1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,1,-1,-1,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
23,26,19,61,82,-1,-1,63,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
62,18,99,99,53,99,16,-1,1,0
32,-1,90,89,65,-1,41,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,37,0,0
14,-1,63,55,30,-1,-1,-1,0,0
-1,-1,11,26,47,-1,15,-1,2,0
-1,-1,-1,-1,39,-1,-1,58,2,0
-1,-1,-1,-1,-1,-1,81,-1,0,0
-1,-1,-1,-1,-1,-1,-1,24,2,0
-1,-1,51,38,43,41,9,-1,1,0
-1,-1,-1,-1,60,-1,-1,-1,1,0
36,37,17,45,-1,-1,-1,75,2,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,75,-1,-1,-1,-1,-1,0,0
